MMSI: 200000000, Ship Type: Tanker
MMSI: 211611070, Ship Type: Tug
MMSI: 211613730, Ship Type: SAR
MMSI: 211624750, Ship Type: Other type
MMSI: 211648000, Ship Type: Fishing vessel
MMSI: 211686000, Ship Type: Cargo ship
MMSI: 211718360, Ship Type: Cargo ship
MMSI: 211727510, Ship Type: Passenger ship
MMSI: 211770520, Ship Type: Other type
MMSI: 211789180, Ship Type: Fishing vessel
MMSI: 211800420, Ship Type: SAR
MMSI: 211815120, Ship Type: Ship type not found
MMSI: 211815680, Ship Type: Law enforcment
MMSI: 211833370, Ship Type: Tug
MMSI: 211833390, Ship Type: Cargo ship
MMSI: 211865680, Ship Type: Passenger ship
MMSI: 211870240, Ship Type: Cargo ship
MMSI: 211881570, Ship Type: Pilot
MMSI: 211887350, Ship Type: HSC
MMSI: 211911000, Ship Type: Other type
MMSI: 212198000, Ship Type: Cargo ship
MMSI: 212423000, Ship Type: Ship type not found
MMSI: 212530000, Ship Type: Cargo ship
MMSI: 212542000, Ship Type: Cargo ship
MMSI: 212613000, Ship Type: Cargo ship
MMSI: 212673000, Ship Type: Cargo ship
MMSI: 212797000, Ship Type: Cargo ship
MMSI: 212801000, Ship Type: Cargo ship
MMSI: 212821000, Ship Type: Cargo ship
MMSI: 212880000, Ship Type: Cargo ship
MMSI: 212882000, Ship Type: Cargo ship
MMSI: 212900000, Ship Type: Cargo ship
MMSI: 215114000, Ship Type: Cargo ship
MMSI: 215116000, Ship Type: Ship type not found
MMSI: 215195000, Ship Type: Cargo ship (HAZ-A)
MMSI: 215209000, Ship Type: Ship type not found
MMSI: 215211000, Ship Type: Tanker
MMSI: 215253000, Ship Type: Tanker
MMSI: 215489000, Ship Type: Cargo ship
MMSI: 215685000, Ship Type: Tanker
MMSI: 215698000, Ship Type: Tanker
MMSI: 215908000, Ship Type: Cargo ship
MMSI: 215926000, Ship Type: Ship type not found
MMSI: 215933000, Ship Type: Tanker
MMSI: 218005000, Ship Type: Cargo ship
MMSI: 218007750, Ship Type: Cargo ship
MMSI: 218016600, Ship Type: SAR
MMSI: 218024950, Ship Type: Law enforcment
MMSI: 218030270, Ship Type: Cargo ship
MMSI: 218037430, Ship Type: Tug
MMSI: 218041490, Ship Type: Cargo ship
MMSI: 218085000, Ship Type: Tanker (HAZ-B)
MMSI: 218162000, Ship Type: Fishing vessel
MMSI: 218197000, Ship Type: Tug
MMSI: 218321000, Ship Type: Tug
MMSI: 218481000, Ship Type: Other type
MMSI: 218601000, Ship Type: Other type
MMSI: 218615000, Ship Type: Cargo ship
MMSI: 218767000, Ship Type: Tug
MMSI: 218795000, Ship Type: Passenger ship
MMSI: 218805000, Ship Type: Cargo ship
MMSI: 218816000, Ship Type: Cargo ship (HAZ-A)
MMSI: 218858000, Ship Type: Cargo ship
MMSI: 219000177, Ship Type: Military ops
MMSI: 219000178, Ship Type: Military ops
MMSI: 219000179, Ship Type: Military ops
MMSI: 219000195, Ship Type: Dredging or UW ops
MMSI: 219000245, Ship Type: Cargo ship
MMSI: 219000368, Ship Type: Passenger ship
MMSI: 219000417, Ship Type: Military ops
MMSI: 219000429, Ship Type: Passenger ship
MMSI: 219000431, Ship Type: Passenger ship
MMSI: 219000472, Ship Type: Military ops
MMSI: 219000558, Ship Type: Other type
MMSI: 219000577, Ship Type: Passenger ship
MMSI: 219000584, Ship Type: Passenger ship
MMSI: 219000603, Ship Type: Unknown
MMSI: 219000604, Ship Type: Passenger ship
MMSI: 219000606, Ship Type: Passenger ship
MMSI: 219000615, Ship Type: Dredging or UW ops
MMSI: 219000617, Ship Type: Fishing vessel
MMSI: 219000632, Ship Type: Other type
MMSI: 219000643, Ship Type: Passenger ship
MMSI: 219000647, Ship Type: Other type
MMSI: 219000674, Ship Type: Passenger ship
MMSI: 219000675, Ship Type: Passenger ship
MMSI: 219000733, Ship Type: Passenger ship
MMSI: 219000734, Ship Type: Passenger ship
MMSI: 219000742, Ship Type: Passenger ship
MMSI: 219000775, Ship Type: SAR
MMSI: 219000781, Ship Type: Passenger ship
MMSI: 219000809, Ship Type: Passenger ship
MMSI: 219000811, Ship Type: Passenger ship
MMSI: 219000818, Ship Type: Passenger ship
MMSI: 219000836, Ship Type: Passenger ship
MMSI: 219000859, Ship Type: Passenger ship
MMSI: 219000873, Ship Type: Passenger ship
MMSI: 219000892, Ship Type: Dredging or UW ops
MMSI: 219000895, Ship Type: Fishing vessel
MMSI: 219000897, Ship Type: Fishing vessel
MMSI: 219000899, Ship Type: Passenger ship
MMSI: 219000988, Ship Type: Pleasure craft
MMSI: 219001039, Ship Type: Fishing vessel
MMSI: 219001125, Ship Type: Fishing vessel
MMSI: 219001149, Ship Type: Fishing vessel
MMSI: 219001181, Ship Type: Fishing vessel
MMSI: 219001182, Ship Type: Passenger ship
MMSI: 219001185, Ship Type: Passenger ship
MMSI: 219001204, Ship Type: Fishing vessel
MMSI: 219001259, Ship Type: Dredging or UW ops
MMSI: 219001262, Ship Type: Dredging or UW ops
MMSI: 219001265, Ship Type: Fishing vessel
MMSI: 219001266, Ship Type: Passenger ship
MMSI: 219001343, Ship Type: Fishing vessel
MMSI: 219001362, Ship Type: Unknown
MMSI: 219001375, Ship Type: Passenger ship
MMSI: 219001431, Ship Type: Passenger ship
MMSI: 219001514, Ship Type: Dredging or UW ops
MMSI: 219001518, Ship Type: Fishing vessel
MMSI: 219001522, Ship Type: Fishing vessel
MMSI: 219001553, Ship Type: Fishing vessel
MMSI: 219001587, Ship Type: Fishing vessel
MMSI: 219001604, Ship Type: Fishing vessel
MMSI: 219001642, Ship Type: Fishing vessel
MMSI: 219001647, Ship Type: Other type
MMSI: 219001678, Ship Type: Other type
MMSI: 219001819, Ship Type: Dredging or UW ops
MMSI: 219002023, Ship Type: Fishing vessel
MMSI: 219002051, Ship Type: Fishing vessel
MMSI: 219002136, Ship Type: Fishing vessel
MMSI: 219002176, Ship Type: Pilot
MMSI: 219002177, Ship Type: Passenger ship
MMSI: 219002332, Ship Type: Pleasure craft
MMSI: 219002416, Ship Type: Tug
MMSI: 219002418, Ship Type: Passenger ship
MMSI: 219002493, Ship Type: Dredging or UW ops
MMSI: 219002565, Ship Type: Passenger ship
MMSI: 219002661, Ship Type: Fishing vessel
MMSI: 219002731, Ship Type: Passenger ship
MMSI: 219002798, Ship Type: Unknown
MMSI: 219002801, Ship Type: Towing vessel
MMSI: 219002823, Ship Type: Fishing vessel
MMSI: 219002827, Ship Type: Fishing vessel
MMSI: 219002962, Ship Type: Fishing vessel
MMSI: 219003121, Ship Type: Dredging or UW ops
MMSI: 219003141, Ship Type: Passenger ship
MMSI: 219003217, Ship Type: Cargo ship
MMSI: 219003383, Ship Type: Cargo ship
MMSI: 219003406, Ship Type: Tug
MMSI: 219003446, Ship Type: Pleasure craft
MMSI: 219003826, Ship Type: Pilot
MMSI: 219003959, Ship Type: Fishing vessel
MMSI: 219003966, Ship Type: Cargo ship
MMSI: 219004128, Ship Type: Fishing vessel
MMSI: 219004145, Ship Type: Passenger ship
MMSI: 219004179, Ship Type: Other type
MMSI: 219004203, Ship Type: Fishing vessel
MMSI: 219004242, Ship Type: Fishing vessel
MMSI: 219004265, Ship Type: Fishing vessel
MMSI: 219004266, Ship Type: Other type
MMSI: 219004343, Ship Type: Fishing vessel
MMSI: 219004355, Ship Type: Tug
MMSI: 219004407, Ship Type: Fishing vessel
MMSI: 219004529, Ship Type: Tug
MMSI: 219004596, Ship Type: Fishing vessel
MMSI: 219004634, Ship Type: Pleasure craft
MMSI: 219004907, Ship Type: Cargo ship
MMSI: 219005068, Ship Type: Passenger ship
MMSI: 219005454, Ship Type: Fishing vessel
MMSI: 219005477, Ship Type: Pilot
MMSI: 219005513, Ship Type: Fishing vessel
MMSI: 219005574, Ship Type: Port tender
MMSI: 219005583, Ship Type: Fishing vessel
MMSI: 219005671, Ship Type: Fishing vessel
MMSI: 219005732, Ship Type: Fishing vessel
MMSI: 219005763, Ship Type: Fishing vessel
MMSI: 219005803, Ship Type: Fishing vessel
MMSI: 219005826, Ship Type: Fishing vessel
MMSI: 219005866, Ship Type: Fishing vessel
MMSI: 219005867, Ship Type: Fishing vessel
MMSI: 219005878, Ship Type: Fishing vessel
MMSI: 219005886, Ship Type: Other type
MMSI: 219005901, Ship Type: Fishing vessel
MMSI: 219005902, Ship Type: Fishing vessel
MMSI: 219005909, Ship Type: Fishing vessel
MMSI: 219005921, Ship Type: Fishing vessel
MMSI: 219005929, Ship Type: Fishing vessel
MMSI: 219005954, Ship Type: Fishing vessel
MMSI: 219005956, Ship Type: Fishing vessel
MMSI: 219005969, Ship Type: Fishing vessel
MMSI: 219006026, Ship Type: Passenger ship
MMSI: 219006092, Ship Type: Fishing vessel
MMSI: 219006099, Ship Type: Port tender
MMSI: 219006113, Ship Type: Fishing vessel
MMSI: 219006219, Ship Type: Fishing vessel
MMSI: 219006301, Ship Type: Fishing vessel
MMSI: 219006304, Ship Type: Passenger ship
MMSI: 219006382, Ship Type: Fishing vessel
MMSI: 219006383, Ship Type: Fishing vessel
MMSI: 219006389, Ship Type: Fishing vessel
MMSI: 219006478, Ship Type: Pilot
MMSI: 219006514, Ship Type: Sailing vessel
MMSI: 219006614, Ship Type: Fishing vessel
MMSI: 219006835, Ship Type: Fishing vessel
MMSI: 219006971, Ship Type: Fishing vessel
MMSI: 219007027, Ship Type: Fishing vessel
MMSI: 219007034, Ship Type: Fishing vessel
MMSI: 219007313, Ship Type: Fishing vessel
MMSI: 219007363, Ship Type: Dredging or UW ops
MMSI: 219007401, Ship Type: Pilot
MMSI: 219007404, Ship Type: Fishing vessel
MMSI: 219007421, Ship Type: Diving ops
MMSI: 219007471, Ship Type: Port tender
MMSI: 219007572, Ship Type: Dredging or UW ops
MMSI: 219007596, Ship Type: Fishing vessel
MMSI: 219007671, Ship Type: Tanker
MMSI: 219007705, Ship Type: Cargo ship
MMSI: 219007781, Ship Type: Fishing vessel
MMSI: 219007835, Ship Type: Other type
MMSI: 219007967, Ship Type: Fishing vessel
MMSI: 219008474, Ship Type: Fishing vessel
MMSI: 219008715, Ship Type: Fishing vessel
MMSI: 219008746, Ship Type: Passenger ship
MMSI: 219009081, Ship Type: Cargo ship
MMSI: 219009101, Ship Type: Unknown
MMSI: 219009183, Ship Type: Fishing vessel
MMSI: 219009229, Ship Type: Fishing vessel
MMSI: 219009367, Ship Type: Sailing vessel
MMSI: 219009415, Ship Type: Fishing vessel
MMSI: 219009799, Ship Type: Fishing vessel
MMSI: 219010079, Ship Type: Fishing vessel
MMSI: 219010207, Ship Type: Fishing vessel
MMSI: 219010247, Ship Type: Fishing vessel
MMSI: 219010487, Ship Type: Fishing vessel
MMSI: 219010518, Ship Type: SAR
MMSI: 219010873, Ship Type: Pilot
MMSI: 219011018, Ship Type: Fishing vessel
MMSI: 219011032, Ship Type: Fishing vessel
MMSI: 219011224, Ship Type: Tug
MMSI: 219011283, Ship Type: Cargo ship
MMSI: 219011325, Ship Type: Fishing vessel
MMSI: 219011348, Ship Type: Pleasure craft
MMSI: 219011867, Ship Type: Fishing vessel
MMSI: 219012073, Ship Type: Other type
MMSI: 219012076, Ship Type: Towing vessel
MMSI: 219012277, Ship Type: Passenger ship
MMSI: 219012302, Ship Type: Fishing vessel
MMSI: 219012332, Ship Type: Pleasure craft
MMSI: 219012351, Ship Type: Fishing vessel
MMSI: 219012352, Ship Type: Fishing vessel
MMSI: 219012511, Ship Type: Fishing vessel
MMSI: 219012521, Ship Type: Fishing vessel
MMSI: 219012563, Ship Type: Tug
MMSI: 219012671, Ship Type: Fishing vessel
MMSI: 219013178, Ship Type: Fishing vessel
MMSI: 219013485, Ship Type: Fishing vessel
MMSI: 219013538, Ship Type: Fishing vessel
MMSI: 219013667, Ship Type: Sailing vessel
MMSI: 219013753, Ship Type: Fishing vessel
MMSI: 219013885, Ship Type: Fishing vessel
MMSI: 219013964, Ship Type: Dredging or UW ops
MMSI: 219013968, Ship Type: Fishing vessel
MMSI: 219013969, Ship Type: Pleasure craft
MMSI: 219013976, Ship Type: Fishing vessel
MMSI: 219014012, Ship Type: Passenger ship
MMSI: 219014192, Ship Type: Fishing vessel
MMSI: 219014219, Ship Type: Dredging or UW ops
MMSI: 219014435, Ship Type: Other type
MMSI: 219014436, Ship Type: Other type
MMSI: 219014519, Ship Type: Pilot
MMSI: 219014579, Ship Type: Passenger ship
MMSI: 219014851, Ship Type: Fishing vessel
MMSI: 219014974, Ship Type: Passenger ship
MMSI: 219015055, Ship Type: Pleasure craft
MMSI: 219015103, Ship Type: Fishing vessel
MMSI: 219015127, Ship Type: Passenger ship
MMSI: 219015153, Ship Type: Passenger ship
MMSI: 219015233, Ship Type: Pleasure craft
MMSI: 219015362, Ship Type: Fishing vessel
MMSI: 219015425, Ship Type: Tug
MMSI: 219015427, Ship Type: Tug
MMSI: 219015579, Ship Type: Tug
MMSI: 219015583, Ship Type: Pilot
MMSI: 219015595, Ship Type: Unknown
MMSI: 219015604, Ship Type: Port tender
MMSI: 219016547, Ship Type: Passenger ship
MMSI: 219016615, Ship Type: Fishing vessel
MMSI: 219016663, Ship Type: HSC
MMSI: 219016665, Ship Type: HSC
MMSI: 219016667, Ship Type: Fishing vessel
MMSI: 219016747, Ship Type: HSC
MMSI: 219016759, Ship Type: SAR
MMSI: 219016781, Ship Type: Pilot
MMSI: 219016806, Ship Type: Fishing vessel
MMSI: 219016832, Ship Type: Passenger ship
MMSI: 219016847, Ship Type: Fishing vessel
MMSI: 219016873, Ship Type: HSC
MMSI: 219016906, Ship Type: Passenger ship
MMSI: 219016938, Ship Type: Passenger ship
MMSI: 219016966, Ship Type: Other type
MMSI: 219017081, Ship Type: HSC
MMSI: 219017147, Ship Type: Pleasure craft
MMSI: 219017204, Ship Type: HSC
MMSI: 219017288, Ship Type: Fishing vessel
MMSI: 219017664, Ship Type: Passenger ship
MMSI: 219017717, Ship Type: Passenger ship
MMSI: 219017733, Ship Type: Towing vessel
MMSI: 219017815, Ship Type: Passenger ship
MMSI: 219017895, Ship Type: Fishing vessel
MMSI: 219017917, Ship Type: Passenger ship
MMSI: 219017993, Ship Type: Pleasure craft
MMSI: 219018042, Ship Type: SAR
MMSI: 219018044, Ship Type: HSC
MMSI: 219018172, Ship Type: HSC
MMSI: 219018493, Ship Type: SAR
MMSI: 219018494, Ship Type: SAR
MMSI: 219018788, Ship Type: Other type
MMSI: 219018892, Ship Type: Fishing vessel
MMSI: 219018986, Ship Type: Cargo ship (HAZ-D)
MMSI: 219019010, Ship Type: SAR
MMSI: 219019013, Ship Type: HSC
MMSI: 219019067, Ship Type: Tanker
MMSI: 219019173, Ship Type: Pleasure craft
MMSI: 219019219, Ship Type: SAR
MMSI: 219019354, Ship Type: Other type
MMSI: 219019361, Ship Type: Pleasure craft
MMSI: 219019441, Ship Type: Diving ops
MMSI: 219019526, Ship Type: SAR
MMSI: 219019887, Ship Type: Passenger ship
MMSI: 219019936, Ship Type: Cargo ship
MMSI: 219020142, Ship Type: Military ops
MMSI: 219020398, Ship Type: Other type
MMSI: 219020533, Ship Type: Other type
MMSI: 219021176, Ship Type: Fishing vessel
MMSI: 219021235, Ship Type: Other type
MMSI: 219021343, Ship Type: Fishing vessel
MMSI: 219021596, Ship Type: Law enforcment
MMSI: 219022000, Ship Type: Fishing vessel
MMSI: 219022047, Ship Type: Tanker
MMSI: 219022214, Ship Type: Dredging or UW ops
MMSI: 219022256, Ship Type: Pilot
MMSI: 219022257, Ship Type: Pilot
MMSI: 219022265, Ship Type: Tug
MMSI: 219022300, Ship Type: Tug
MMSI: 219022786, Ship Type: Pleasure craft
MMSI: 219022903, Ship Type: HSC
MMSI: 219023018, Ship Type: Sailing vessel
MMSI: 219023313, Ship Type: Fishing vessel
MMSI: 219023376, Ship Type: Pleasure craft
MMSI: 219023531, Ship Type: Passenger ship
MMSI: 219023588, Ship Type: Fishing vessel
MMSI: 219023623, Ship Type: Pleasure craft
MMSI: 219023648, Ship Type: Pilot
MMSI: 219023738, Ship Type: Fishing vessel
MMSI: 219023752, Ship Type: Pleasure craft
MMSI: 219023780, Ship Type: Pleasure craft
MMSI: 219023811, Ship Type: Pleasure craft
MMSI: 219023833, Ship Type: Pilot
MMSI: 219023834, Ship Type: Pilot
MMSI: 219023911, Ship Type: Fishing vessel
MMSI: 219023945, Ship Type: Pilot
MMSI: 219024000, Ship Type: Fishing vessel
MMSI: 219024175, Ship Type: Pilot
MMSI: 219024176, Ship Type: Pilot
MMSI: 219024178, Ship Type: Pilot
MMSI: 219024185, Ship Type: Passenger ship
MMSI: 219024563, Ship Type: Pleasure craft
MMSI: 219024597, Ship Type: Tug
MMSI: 219024604, Ship Type: Military ops
MMSI: 219024651, Ship Type: Pleasure craft
MMSI: 219024675, Ship Type: Pilot
MMSI: 219024715, Ship Type: Fishing vessel
MMSI: 219024728, Ship Type: Anti-polution
MMSI: 219024783, Ship Type: Pilot
MMSI: 219024784, Ship Type: Pilot
MMSI: 219024923, Ship Type: Fishing vessel
MMSI: 219024924, Ship Type: Fishing vessel
MMSI: 219025245, Ship Type: Fishing vessel
MMSI: 219025528, Ship Type: Tug
MMSI: 219025774, Ship Type: Cargo ship
MMSI: 219026000, Ship Type: Passenger ship (HAZ-A)
MMSI: 219026048, Ship Type: Pleasure craft
MMSI: 219026071, Ship Type: HSC
MMSI: 219026119, Ship Type: Fishing vessel
MMSI: 219026129, Ship Type: Pleasure craft
MMSI: 219026147, Ship Type: Pilot
MMSI: 219026172, Ship Type: Fishing vessel
MMSI: 219026175, Ship Type: Sailing vessel
MMSI: 219026197, Ship Type: Passenger ship
MMSI: 219026257, Ship Type: Pilot
MMSI: 219026261, Ship Type: HSC
MMSI: 219026300, Ship Type: Passenger ship
MMSI: 219026301, Ship Type: Passenger ship
MMSI: 219026304, Ship Type: Passenger ship
MMSI: 219026305, Ship Type: Passenger ship
MMSI: 219026443, Ship Type: Pilot
MMSI: 219026522, Ship Type: Cargo ship
MMSI: 219026675, Ship Type: Fishing vessel
MMSI: 219026706, Ship Type: Pilot
MMSI: 219026899, Ship Type: Pleasure craft
MMSI: 219027026, Ship Type: Fishing vessel
MMSI: 219027298, Ship Type: HSC
MMSI: 219027308, Ship Type: Dredging or UW ops
MMSI: 219027309, Ship Type: Dredging or UW ops
MMSI: 219027752, Ship Type: Fishing vessel
MMSI: 219027790, Ship Type: Dredging or UW ops
MMSI: 219027804, Ship Type: SAR
MMSI: 219027893, Ship Type: Tug
MMSI: 219027899, Ship Type: Tug
MMSI: 219027995, Ship Type: Cargo ship
MMSI: 219028021, Ship Type: Fishing vessel
MMSI: 219028116, Ship Type: Passenger ship (HAZ-A)
MMSI: 219028133, Ship Type: HSC
MMSI: 219028337, Ship Type: Tug
MMSI: 219028794, Ship Type: Fishing vessel
MMSI: 219028973, Ship Type: HSC
MMSI: 219029233, Ship Type: Passenger ship
MMSI: 219029420, Ship Type: Sailing vessel
MMSI: 219029468, Ship Type: Sailing vessel
MMSI: 219029704, Ship Type: Unknown
MMSI: 219029706, Ship Type: SAR
MMSI: 219029708, Ship Type: SAR
MMSI: 219029722, Ship Type: Tanker
MMSI: 219029726, Ship Type: Other type (HAZ-A)
MMSI: 219029769, Ship Type: Sailing vessel
MMSI: 219029786, Ship Type: Other type
MMSI: 219029904, Ship Type: Other type
MMSI: 219030113, Ship Type: Tug
MMSI: 219030243, Ship Type: Pleasure craft
MMSI: 219030264, Ship Type: Pleasure craft
MMSI: 219030294, Ship Type: Pleasure craft
MMSI: 219030336, Ship Type: Ship type not found
MMSI: 219030383, Ship Type: Fishing vessel
MMSI: 219030406, Ship Type: Dredging or UW ops
MMSI: 219030452, Ship Type: Fishing vessel
MMSI: 219030533, Ship Type: Other type
MMSI: 219030656, Ship Type: Pilot
MMSI: 219030764, Ship Type: Sailing vessel
MMSI: 219030973, Ship Type: Pleasure craft
MMSI: 219031010, Ship Type: Pleasure craft
MMSI: 219031087, Ship Type: Fishing vessel
MMSI: 219031153, Ship Type: HSC
MMSI: 219031157, Ship Type: HSC
MMSI: 219031310, Ship Type: Passenger ship
MMSI: 219031429, Ship Type: Tanker
MMSI: 219031487, Ship Type: Ship type not found
MMSI: 219031645, Ship Type: Unknown
MMSI: 219031731, Ship Type: SAR
MMSI: 219031740, Ship Type: Pleasure craft
MMSI: 219031879, Ship Type: Pleasure craft
MMSI: 219032276, Ship Type: Pleasure craft
MMSI: 219032297, Ship Type: SAR
MMSI: 219032310, Ship Type: Sailing vessel
MMSI: 219032609, Ship Type: HSC
MMSI: 219032621, Ship Type: Pleasure craft
MMSI: 219032670, Ship Type: SAR
MMSI: 219032869, Ship Type: Other type
MMSI: 219032932, Ship Type: Tug
MMSI: 219033013, Ship Type: Pilot
MMSI: 219033166, Ship Type: HSC
MMSI: 219033221, Ship Type: Other type
MMSI: 219033720, Ship Type: Tug
MMSI: 219034014, Ship Type: HSC
MMSI: 219034249, Ship Type: Other type
MMSI: 219034345, Ship Type: HSC
MMSI: 219034486, Ship Type: Towing vessel
MMSI: 219042000, Ship Type: SAR
MMSI: 219063000, Ship Type: Fishing vessel
MMSI: 219065000, Ship Type: Fishing vessel
MMSI: 219076000, Ship Type: Ship type not found
MMSI: 219106000, Ship Type: Fishing vessel
MMSI: 219113000, Ship Type: Other type
MMSI: 219136000, Ship Type: Cargo ship (HAZ-A)
MMSI: 219158000, Ship Type: Military ops
MMSI: 219159000, Ship Type: Tug
MMSI: 219164000, Ship Type: Cargo ship
MMSI: 219171000, Ship Type: SAR
MMSI: 219186000, Ship Type: SAR
MMSI: 219203000, Ship Type: SAR
MMSI: 219230000, Ship Type: Passenger ship
MMSI: 219244000, Ship Type: Dredging or UW ops
MMSI: 219262000, Ship Type: Military ops
MMSI: 219281000, Ship Type: Cargo ship
MMSI: 219298000, Ship Type: Dredging or UW ops
MMSI: 219309000, Ship Type: Tanker
MMSI: 219313000, Ship Type: Dredging or UW ops
MMSI: 219329000, Ship Type: Cargo ship
MMSI: 219330000, Ship Type: Fishing vessel
MMSI: 219347000, Ship Type: Passenger ship
MMSI: 219355000, Ship Type: Tanker
MMSI: 219385000, Ship Type: Passenger ship
MMSI: 219419000, Ship Type: Other type (HAZ-B)
MMSI: 219421000, Ship Type: Fishing vessel
MMSI: 219423000, Ship Type: Passenger ship
MMSI: 219429000, Ship Type: Fishing vessel
MMSI: 219435000, Ship Type: Cargo ship
MMSI: 219439000, Ship Type: Fishing vessel
MMSI: 219443000, Ship Type: Fishing vessel
MMSI: 219448000, Ship Type: Other type
MMSI: 219449000, Ship Type: Other type
MMSI: 219461000, Ship Type: Dredging or UW ops
